Layer,Count,Proportion,Band
1,0,0.0,Early (1-8)
2,1,0.025,Early (1-8)
3,0,0.0,Early (1-8)
4,1,0.025,Early (1-8)
5,1,0.025,Early (1-8)
6,2,0.05,Early (1-8)
7,1,0.025,Early (1-8)
8,1,0.025,Early (1-8)
9,0,0.0,Middle (9-24)
10,3,0.075,Middle (9-24)
11,1,0.025,Middle (9-24)
12,0,0.0,Middle (9-24)
13,0,0.0,Middle (9-24)
14,3,0.075,Middle (9-24)
15,0,0.0,Middle (9-24)
16,3,0.075,Middle (9-24)
17,1,0.025,Middle (9-24)
18,0,0.0,Middle (9-24)
19,0,0.0,Middle (9-24)
20,0,0.0,Middle (9-24)
21,0,0.0,Middle (9-24)
22,0,0.0,Middle (9-24)
23,0,0.0,Middle (9-24)
24,0,0.0,Middle (9-24)
25,0,0.0,Late (25-33)
26,0,0.0,Late (25-33)
27,0,0.0,Late (25-33)
28,1,0.025,Late (25-33)
29,1,0.025,Late (25-33)
30,3,0.075,Late (25-33)
31,7,0.175,Late (25-33)
32,8,0.2,Late (25-33)
33,2,0.05,Late (25-33)
