scope,scorer,n,n_pos,n_neg,spearman_r_raw,spearman_p_raw,spearman_r_z,spearman_p_z,AUROC_raw,AUROC_corrected,score_sign
Pooled,LLR_wt_marginal,95142,58629,36513,0.4712,0.0,0.4571,0.0,0.7467,0.7467,1
CBS,LLR_wt_marginal,7217,3314,3903,0.3368,6.128866029689426e-191,0.3368,6.128866029689426e-191,0.6897,0.6897,1
GAL4,LLR_wt_marginal,1195,831,364,0.6558,8.260409764283598e-148,0.6558,8.260409764283598e-148,0.792,0.792,1
PABP,LLR_wt_marginal,74229,46078,28151,0.4705,0.0,0.4705,0.0,0.7571,0.7571,1
PTEN,LLR_wt_marginal,7504,5880,1624,0.4762,0.0,0.4762,0.0,0.8332,0.8332,1
TEM1,LLR_wt_marginal,4997,2526,2471,0.7086,0.0,0.7086,0.0,0.878,0.878,1
Pooled,LLR,95142,58629,36513,0.48,0.0,0.4708,0.0,0.7531,0.7531,1
CBS,LLR,7217,3314,3903,0.3422,2.2755544190917796e-197,0.3422,2.2755544190917796e-197,0.6923,0.6923,1
GAL4,LLR,1195,831,364,0.6676,4.714155538382132e-155,0.6676,4.714155538382132e-155,0.7954,0.7954,1
PABP,LLR,74229,46078,28151,0.4855,0.0,0.4855,0.0,0.7667,0.7667,1
PTEN,LLR,7504,5880,1624,0.5006,0.0,0.5006,0.0,0.846,0.846,1
TEM1,LLR,4997,2526,2471,0.7142,0.0,0.7142,0.0,0.8816,0.8816,1
