scope,scorer,n,spearman_r,spearman_p,spearman_sign,AUROC_raw,AUROC_corrected,AUPRC_raw,AUPRC_corrected
Pooled,SCI,95142,0.2,0.0,1,0.6685,0.6685,0.7388,0.7388
Pooled,LLR,95142,0.48,0.0,1,0.7531,0.7531,0.7912,0.7912
Pooled,SCI+LLR (CV-LR),95142,0.464,0.0,1,0.7578,0.7578,0.7962,0.7962
CBS,SCI,7217,0.1308,6.807285059543057e-29,1,0.5698,0.5698,0.5321,0.5321
CBS,LLR,7217,0.3422,2.2755544190917796e-197,1,0.6923,0.6923,0.5887,0.5887
CBS,SCI+LLR (CV-LR),7217,0.3431,1.801493358520711e-198,1,0.6924,0.6924,0.5938,0.5938
GAL4,SCI,1195,0.4329,9.027865907837516e-56,1,0.7175,0.7175,0.8556,0.8556
GAL4,LLR,1195,0.6676,4.714155538382132e-155,1,0.7954,0.7954,0.9046,0.9046
GAL4,SCI+LLR (CV-LR),1195,0.6574,8.170709706527207e-149,1,0.7968,0.7968,0.9067,0.9067
PABP,SCI,74229,0.3558,0.0,1,0.699,0.699,0.7608,0.7608
PABP,LLR,74229,0.4855,0.0,1,0.7667,0.7667,0.8009,0.8009
PABP,SCI+LLR (CV-LR),74229,0.4909,0.0,1,0.7698,0.7698,0.8041,0.8041
PTEN,SCI,7504,0.1351,6.541189817348254e-32,1,0.6288,0.6288,0.8651,0.8651
PTEN,LLR,7504,0.5006,0.0,1,0.846,0.846,0.9447,0.9447
PTEN,SCI+LLR (CV-LR),7504,0.4974,0.0,1,0.8473,0.8473,0.9449,0.9449
TEM1,SCI,4997,0.5024,0.0,1,0.7592,0.7592,0.7676,0.7676
TEM1,LLR,4997,0.7142,0.0,1,0.8816,0.8816,0.852,0.852
TEM1,SCI+LLR (CV-LR),4997,0.7326,0.0,1,0.8891,0.8891,0.8824,0.8824
